sep=;
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-g440-hard-gaming-mouse-pad-8075568/i/;Logitech G440 HARD GAMING MOUSE PAD;http://cf1.souqcdn.com/item/2015/04/06/80/75/56/8/item_M_8075568_7451618.jpg;80.00 SAR;80.00 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-943-000051-g440-gaming-mouse-pad-for-pc-and-mac-9665625/i/;Logitech 943-000051 G440 Gaming Mouse Pad for PC and Mac;http://cf1.souqcdn.com/item/2015/12/07/96/65/62/5/item_M_9665625_11165849.jpg;99.00 SAR;99.00 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-mouse-pad-g240-8075554/i/;Logitech Mouse PAD G240;http://cf5.souqcdn.com/item/2015/04/06/80/75/55/4/item_M_8075554_7451575.jpg;67.00 SAR;67.00 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-wireless-rechargeable-touchpad-for-windows-8-black-6400988/i/;Logitech Wireless Rechargeable Touchpad for Windows 8 (Black);http://cf4.souqcdn.com/item/2013/12/05/64/00/98/8/item_M_6400988_3748241.jpg;399.95 SAR;399.95 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-r400-wireless-presenter-black-4821985/i/;Logitech R400 Wireless Presenter Black;http://cf2.souqcdn.com/item/48/21/98/5/item_M_4821985_1451183.jpg;325.00 SAR;325.00 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/logitech-r400-wireless-presenter-black-9326272/i/;logitech r400 Wireless Presenter Black;http://cf3.souqcdn.com/item/2015/10/20/93/26/27/2/item_M_9326272_10143584.jpg;339.00 SAR;339.00 SAR;Logitech;1
Electronics;Computers, Laptops and Storage;Computer Accessories;http://saudi.souq.com/sa-en/smart-mini-usb-vacuum-cleaner-for-computer-and-laptop-4860060/i/;Smart Mini USB Vacuum Cleaner For Computer and Laptop;http://cf2.souqcdn.com/item/48/60/06/0/item_M_4860060_1517549.jpg;35.00 SAR;35.00 SAR;Smart;1
Electronics;Cameras and Photography;Digital Cameras;http://saudi.souq.com/sa-en/nikon-coolpix-aw130-digital-camera-16-megapixel-blue-8562012/i/;Nikon Coolpix AW130  Digital Camera, 16 Megapixel, Blue;http://cf1.souqcdn.com/item/2015/06/30/85/62/01/2/item_M_8562012_8450133.jpg;1,349.00 SAR;1,349.00 SAR;Nikon;1
Electronics;Cameras and Photography;Digital Cameras;http://saudi.souq.com/sa-en/nikon-d3200-24-2-mp-slr-camera-black-18-55mm-lens-kit-4633720/i/;Nikon D3200 - 24.2 MP, SLR Camera, Black, 18 - 55mm Lens Kit;http://cf3.souqcdn.com/item/2015/07/14/46/33/72/0/item_M_4633720_8603679.jpg;1,250.00 SAR;1,399.00 SAR;Nikon;1
Electronics;Cameras and Photography;Digital Cameras;http://saudi.souq.com/sa-en/nikon-coolpix-s2800-20-1-mp-point-and-shoot-camera-silver-6907470/i/;Nikon CoolPix S2800 - 20.1 MP, Point and Shoot Camera, Silver;http://cf2.souqcdn.com/item/2015/07/14/69/07/47/0/item_M_6907470_8603563.jpg;199.00 SAR;349.00 SAR;Nikon;1
Electronics;Cameras and Photography;Digital Cameras;http://saudi.souq.com/sa-en/nikon-d5300-24-mp-slr-camera-black-18-55mm-vr-lens-kit-6432630/i/;Nikon D5300 - 24 MP, SLR Camera, Black, 18 - 55mm VR Lens Kit;http://cf1.souqcdn.com/item/2015/07/14/64/32/63/0/item_M_6432630_8603750.jpg;1,850.00 SAR;2,399.00 SAR;Nikon;1
