super category,category,sub category,brand,Priority,Expected Date
Electronics,Gaming and Accessories,Gaming Accessories,Sony Computer Entertainment Euro,1,
Electronics,Mobiles and Tablets,Mobile Accessories,TP-Link,1,
Electronics,Mobiles and Tablets,Mobile Accessories,D-link,1,
Home and Kitchen,Home Furnishing,Blankets and Quilts,Knights bridge,3,
Electronics,"TVs, Audio and Video",Home Theatre Systems,Sonashi,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,CARTIER,2,
Fashion,Womens Accessories,Watches,Converse,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,S T Dupont,2,
"Beauty, Personal Care and Fragrances",Fragrances,Women's Fragrances,Bill Blass,2,
Electronics,Mobiles and Tablets,Tablet Accessories,IDEA,1,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,TMNT,3,
Fashion,Women Clothing,Skirts,Lara Karen,2,
Fashion,Womens Accessories,Jewellery,Andre Mouche,2,
Home and Kitchen,Home Furnishing,Bed Linen,Avantika Home Fashion,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Totu Design,1,
Fashion,Women's Clothing,T-shirts and Vests,Basicxx,2,
Home and Kitchen,Home Décor,Clocks,AL QIBLA,3,
Fashion,Mens Bag,Small Leather Goods,Calvin Klein,2,
Electronics,"TVs, Audio and Video",Speakers,IHOME,1,
Fashion,Womens Accessories,Jewellery,BareGrounds,2,
Home and Kitchen,Small Appliances,Others,Braun,3,
Fashion,Mens Clothing,Jackets & Coats,Wintage,2,
Fashion,Womens Accessories,Watches,Charles Delon,2,
Electronics,"TVs, Audio and Video",TV and AV Accessories,Tecxus,1,
Fashion,Men's Clothing,Jeans,MR BUTTON,2,
Fashion,Women Clothing,Tops,Xniva,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,D-Link,1,
Fashion,Mens Clothing,Shirts,Locomotive,2,
Electronics,Mobiles and Tablets,Mobile Accessories,FONDI,1,
Fashion,Women Clothing,Cardigans & Sweaters,Club L,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,LANVIN,2,
Fashion,Women Bags,Women Bags,Spiral,2,
Electronics,"Computers, Laptops and Storage",Storage Devices,EYEFI,1,
Home and Kitchen,Small Appliances,Gas Stoves,Eurostar,3,
Fashion,Women Clothing,Pants and Leggings,IRON FIST ATHLETIC,2,
Electronics,"Computers, Laptops and Storage",Routers and Modems,NETGEAR,1,
Fashion,Mens Bags,Bags,Viva,2,
Fashion,Mens Clothing,Shorts,DXBeach,2,
Fashion,Women Clothing,Pants & Leggings,Shree,2,
Home and Kitchen,Small Appliances,Ovens and OTGs,Eurostar,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Logitech,1,
Fashion,Mens Clothing,Sportswear,Tagd New York,2,
Fashion,Mens Clothing,T-shirts & Vests,Wear Your Opinion,2,
Electronics,Cameras and Photography,Camera Accessories,Vivitar,1,
Fashion,Womens accessories,Watches,La Mer Collections,2,
Fashion,Mens Clothing,Shirts,Incult,2,
Electronics,Gaming and Accessories,Gaming Consoles,Xbox One,1,
Fashion,Mens Clothing,T-shirts & Vests,Rigo,2,
Home and Kitchen,Home Furnishing,"Pillow, Cushion and Covers",Knights bridge,3,
Fashion,Mens Clothing,Plus Size Clothing,Native Youth,2,
Fashion,Women Clothing,Swimwear and Beachwear,Soleil,2,
Electronics,"TVs, Audio and Video",Home Audio Components,Nakamichi,1,
Fashion,Women Clothing,Skirts,Lumi�re Timing,2,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,Wysada,3,
Automotive,Bike Care,Tyre Care,Petronas,3,
Automotive,Car Accessories,Interior Accessories,Universal,3,
Home and Kitchen,Small Appliances,Toasters and Grills,Binatone,3,
Fashion,Women Clothing,Cardigans & Sweaters,Daphnea,2,
Electronics,Mobiles and Tablets,Tablet Accessories,Samsung,1,
Fashion,Women Clothing,Skirts,Upperclass,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Fitbug,1,
Electronics,Cameras and Photography,Digital Cameras,Nilox,1,
Fashion,Women Clothing,Cardigans and Sweaters,Femella,2,
Fashion,Women Clothing,Dresses,AMANTE,2,
Home and Kitchen,Home Décor,Clocks,Trevi,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Tech Armor,1,
Home and Kitchen,Home Décor,Lamps and Lightings,Beecool,3,
Automotive,Car Audio and GPS,Car Speakers,Alpine,3,
Fashion,Women's Accessories,Jewellery,Fashion Bajar,2,
Fashion,Women Clothing,Pants & Leggings,Entropy,2,
