super category,category,sub category,brand,Priority,Expected Date
Electronics,Mobiles and Tablets,Mobile Accessories,eDatalife,1,
Automotive,Car Care,,Arexons,3,
Electronics,"TVs, Audio and Video",Speakers,Bluetooth Speaker,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Antivirus,1,
Home and Kitchen,Kitchenware,Cookware and Bakeware,TESCOMA / ITALY,3,
Fashion,Mens Accessories,Watches,LOMAS,2,
Home and Kitchen,Kitchenware,Kitchen Storage,Basicxx,3,
Home and Kitchen,Home Furnishing,"Pillow, Cushion and Covers",Go Travel,3,
Fashion,Mens Clothing,Polo Shirts,D-GREEN,2,
Electronics,Cameras and Photography,Camera Accessories,NoBrand,1,
Home and Kitchen,Home Décor,Collectibles,Basicxx,3,
"Toys, Kids and Baby",Toys and Activities,Board Games,Clementoni,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Sally Hansen,2,
